#ID,Name,Total,E1,E2,E3
,OVERALL,400,100,100,200
15417503,"Jones, Corey",253,65,73,115
17272764,"Carlson, Berna",290,83,67,140
12966435,"Mora, Gianna",329,71,63,195
19949311,"Walls, Rosy",249,65,58,126
13574491,"Hutchinson, Kathleen",321,72,88,161
19762179,"Stanton, Edith",286,73,91,122
10335999,"Dunn, Renay",339,69,90,180
12777481,"Weber, Rickie",304,63,56,185
11582441,"Cook, Alessandra",352,94,58,200
19486714,"Jarvis, Mark",299,80,93,126
15240575,"Garcia, Alessandra",290,92,59,139
13046460,"Fry, Angelo",332,63,89,180
17269141,"Pennington, Victor",265,85,62,118
13880965,"Werner, Terrance",293,56,97,140
16498248,"Hart, Wade",282,61,74,147
12602743,"Floyd, Chanell",295,95,91,109
11653262,"Stokes, Neomi",373,79,95,199
10809052,"Booker, Erin",356,73,98,185
