#ID,Name,Total,HW1,HW2,HW3,HW4,HW5,HW6,HW7
,OVERALL,700,100,100,100,100,100,100,100
15417503,"Jones, Corey",402,65,48,83,68,45,43,50
17272764,"Carlson, Berna",520,58,75,78,71,87,68,83
12966435,"Mora, Gianna",495,62,93,44,92,45,100,59
19949311,"Walls, Rosy",457,74,76,56,43,68,49,91
13574491,"Hutchinson, Kathleen",381,33,40,97,45,54,44,68
19762179,"Stanton, Edith",499,91,51,42,82,39,98,96
10335999,"Dunn, Renay",479,37,44,88,89,59,73,89
12777481,"Weber, Rickie",441,85,70,42,40,51,81,72
11582441,"Cook, Alessandra",435,44,44,41,53,60,98,95
19486714,"Jarvis, Mark",440,44,75,97,41,86,48,49
15240575,"Garcia, Alessandra",410,51,69,54,47,61,78,50
13046460,"Fry, Angelo",547,55,65,93,96,78,91,69
17269141,"Pennington, Victor",430,60,42,90,59,75,44,60
13880965,"Werner, Terrance",556,98,81,93,60,84,95,45
16498248,"Hart, Wade",516,37,89,66,84,52,100,88
12602743,"Floyd, Chanell",415,59,50,75,33,61,79,58
11653262,"Stokes, Neomi",416,33,40,56,90,36,78,83
10809052,"Booker, Erin",524,49,80,83,99,86,93,34
