ID,Name,Total,Quiz1,Quiz2,Quiz3,Quiz4
,OVERALL,400,100,100,100,100
19306964,"Peterson, Chris",353,82,99,98,74
15346233,"Ortiz, Timothy",293,86,84,59,64
14789024,"Lawson, Nida",323,62,87,81,93
17222588,"Fletcher, Gordon",325,84,80,66,95
15514268,"Moody, Hector",335,82,92,64,97
11103675,"Lloyd, Eric",321,82,78,69,92
14613021,"Mills, Gilma",333,77,92,75,89
19351632,"Bridges, Cammy",308,79,64,65,100
12985225,"Webb, Tony",337,65,100,92,80
12592611,"Howard, Perry",286,63,66,57,100
12988631,"Chase, Samuel",311,58,72,89,92
11658558,"Allen, Rick",287,58,77,66,86
10413470,"Stephens, Dorthey",322,95,79,76,72
11397936,"Bright, Erin",332,98,82,93,59
16940417,"Kawkins, Tory",323,86,83,96,58
17897552,"Peters, Melvin",324,73,92,94,65
13022696,"Jennings, Gregory",299,83,89,71,56
18347237,"Reeves, Jacob",321,59,95,89,78
15750634,"Harrison, Matthew",288,84,75,60,69
